Report Number,Street Prefix,Street Name,Street Suffix,Intersecting Block Number,Intersecting Street Prefix,Intersecting Street Name,Intersecting Street Suffix,Street Description,At An Intersection,Intersecting Street Description,Crash Date/Time,Fatality,Hit And Run,Location
18-92459,,EAST LOOP 820,,5300,,MARTIN,ST,,FALSE,,10/15/2018 14:40,FALSE,TRUE,"(32.68574, -97.2406)"
18-91820,,SOUTH,FWY,100,,IH 35W NB RENDON CROWLEY,RAMP,,FALSE,,10/13/2018 22:27,FALSE,FALSE,"(32.57061, -97.31882)"
180092354,S,HULEN,ST,6200,,GRANBURY,RD,,TRUE,,10/15/2018 7:50,FALSE,FALSE,"(32.66219, -97.40226)"
18-92440,,WEST,FWY,3600,,LINCREST,DR,,FALSE,,10/15/2018 14:29,FALSE,FALSE,"(32.72086, -97.52531)"
18-92343,W,IH 20,FWY,5000,,TRAIL LAKE,DR,,FALSE,,10/15/2018 6:34,FALSE,FALSE,"(0, 0)"
18-92412,,MILLER,AVE,4133,,MILLET,AVE,PUBLIC STREET,TRUE,DRIVEWAY TO RESIDENCE,10/15/2018 12:36,FALSE,TRUE,"(32.72281, -97.26248)"
18-92475,,MEADOWBROOK,DR,2300,,EMILY,BLVD,,TRUE,,10/15/2018 15:50,FALSE,FALSE,"(32.74604, -97.23809)"
18-92447,,HEMPHILL,ST,700,,FELIKS GWODZ,PL,,FALSE,,10/15/2018 14:53,FALSE,FALSE,"(32.72881, -97.33158)"
18-92339,,HIGHWAY 360,,14100,,TRINITY,BLVD,,FALSE,,10/15/2018 5:06,FALSE,FALSE,"(0, 0)"
18-90825,,MC CART,AVE,3400,,SOUTHPARK,LN,,FALSE,,10/9/2018 16:00,FALSE,FALSE,"(32.64312, -97.36943)"
18-90790,,RIDGMAR,BLVD,6400,,PLAZA PARKWAY,,,FALSE,,10/9/2018 15:00,FALSE,FALSE,"(32.7379, -97.42505)"
18-92723,,US HWY 287 SB,HWY,5400,E,LOOP 820,LOOP,US HIGHWAY,FALSE,LOOP 820,10/16/2018 12:53,FALSE,FALSE,"(0, 0)"
18-89152,,SYCAMORE SCHOOL,RD,7500,,ROCK GARDEN,TRL,,TRUE,,10/4/2018 7:19,FALSE,FALSE,"(32.63299, -97.4021)"
18-93134,,JOHN T WHITE,RD,1000,,JOHN T WHITE,RD,LOCAL ROAD,TRUE,LOCAL ROAD,10/17/2018 18:04,FALSE,FALSE,"(32.76524, -97.17105)"
18-90844,W,BERRY,ST,3000,,HEMPHILL,ST,PUBLIC STREET,FALSE,PUBLIC STREET,10/9/2018 17:11,FALSE,FALSE,"(32.70585, -97.33099)"
18-93179,E,NORTHSIDE,DR,100,,NORTHSIDE SB SAMUELS WB,RAMP,CONCRETE,TRUE,CONCRETE,10/17/2018 21:45,FALSE,FALSE,"(32.7713, -97.35322)"
18-91778,N,FREEWAY,,2600,,ALLIANCE,BLVD,SERVICE ROAD,FALSE,LOCAL ROAD,10/12/2018 20:10,FALSE,FALSE,"(0, 0)"
18-92507,,SOUTHWEST LOOP 820,FWY,5600,,HEMPHILL,ST,,FALSE,,10/15/2018 16:45,FALSE,TRUE,"(32.66858, -97.32187)"
180093211,,WHITE SETTLEMENT,RD,100,,SILVER RIDGE BLVD E,,BLACKTOP,FALSE,CONCRETE,10/18/2018 0:22,TRUE,FALSE,"(32.76697, -97.52058)"
18-92499,,OAK PARK,LN,2906,,OAK PARK,CIR,,FALSE,,10/15/2018 17:00,FALSE,TRUE,"(32.70951, -97.38815)"
18-92476,N,BEACH,ST,4200,,LONGSTRAW,DR,,TRUE,,10/15/2018 15:55,FALSE,FALSE,"(32.86332, -97.29063)"
180092509,,RANDOL MILL,RD,500,,OAKLAND,RD,,FALSE,,10/15/2018 17:12,FALSE,TRUE,"(32.77078, -97.25406)"
18-92169,N,HENDERSON,ST,800,W,WEATHERFORD,ST,,TRUE,,10/14/2018 10:22,FALSE,FALSE,"(32.75455, -97.33918)"
180092513,,SOUTH,FWY,0,E,SEMINARY,DR,,FALSE,,10/15/2018 17:31,FALSE,FALSE,"(32.67036, -97.3206)"
180093133,,MARTIN LUTHER KING,FWY,3600,,ERATH,ST,,TRUE,,10/17/2018 17:40,FALSE,FALSE,"(32.70841, -97.2719)"
18-90698,,HWY 183,HWY,5000,,HWY 360,HWY,,FALSE,,10/9/2018 8:30,FALSE,TRUE,"(0, 0)"
18-90364,W,BELKNAP,ST,200,N,TAYLOR,ST,,FALSE,,10/8/2018 9:14,FALSE,TRUE,"(32.75873, -97.33147)"
18-90772,,EAST LOOP 820,,5270,,SH287,,CONNECTOR RAMP,FALSE,CONNECTOR RAMP,10/9/2018 14:26,FALSE,FALSE,"(32.77822, -97.21223)"
18-92641,,EVERMAN,PKWY,8600,,I-35 SR,,,TRUE,,10/16/2018 7:00,FALSE,TRUE,"(32.62756, -97.31705)"
18-92644,NE,LOOP 820,,0,,LOW IRON CROSSING,DR,,FALSE,,10/16/2018 7:58,FALSE,FALSE,"(32.83916, -97.35561)"
18-92486,N,BEACH,ST,4200,,LONGSTRAW,DR,,FALSE,,10/15/2018 17:40,FALSE,FALSE,"(32.86332, -97.29063)"
18-91699,,AVE H,,1500,,COLEMAN,AVE,,TRUE,,10/12/2018 15:20,FALSE,FALSE,"(32.72912, -97.2585)"
18-92656,,MARINE CREEK,PKWY,4495,,CROMWELL MARINE CREEK,RD,,TRUE,,10/16/2018 9:01,FALSE,FALSE,"(32.84974, -97.39055)"
180092838,,WEST LOOP 820 NORTH SR NB,,9250,,CAMP BOWIE W,BLVD,,FALSE,,10/16/2018 18:00,FALSE,FALSE,"(0, 0)"
18-92523,,NORTH,FWY,3000,,BASSWOOD,BLVD,,FALSE,,10/15/2018 17:55,FALSE,FALSE,"(32.87551, -97.31725)"
18-91860,,DECATUR,AVE,1300,NE,34TH,ST,,TRUE,,10/13/2018 3:00,FALSE,TRUE,"(32.80631, -97.33902)"
18-92174,,NORTH FWY SR NB,,2400,,ALLIANCE GATEWAY,FWY,,FALSE,,10/14/2018 10:40,FALSE,FALSE,"(32.9548, -97.3104)"
18-90302,,BRENTWOOD STAIR,RD,1650,,HANDLEY,DR,,FALSE,,10/8/2018 0:18,FALSE,TRUE,"(32.75435, -97.21529)"
18-92195,,SOUTH FWY,FWY,700,E,BERRY,ST,SIX LANE DIVIDED INTERSTATE,FALSE,,10/14/2018 11:57,FALSE,TRUE,"(32.71255, -97.32074)"
18-93128,E,RENDON CROWLEY,RD,12200,,SHADOW WOOD,TRL,,TRUE,,10/17/2018 17:32,FALSE,FALSE,"(32.57986, -97.29747)"
18-91937,,TOM LANDRY,FWY,1200,,COOKS,LN,,FALSE,,10/14/2018 13:16,FALSE,FALSE,"(32.76016, -97.17342)"
18-90450,N,PECAN,ST,500,E,WEATHERFORD,ST,,TRUE,,10/8/2018 14:56,FALSE,FALSE,"(32.75859, -97.32896)"
18-90416,N,BEACH,ST,0,,LONGSTRAW,DR,,FALSE,,10/8/2018 12:17,FALSE,FALSE,"(32.86773, -97.29132)"
18-93231,,SOUTHWEST LOOP 820,FWY,0,,TRAIL LAKE,DR,,FALSE,,10/18/2018 5:51,FALSE,FALSE,"(32.67011, -97.36569)"
18-90309,,BONNIE BRAE,AVE,3200,,CLARY,AVE,,FALSE,,10/8/2018 0:59,FALSE,FALSE,"(32.78, -97.2997)"
18-93108,,PRECINCT LINE,RD,8000,,RANDOL MILL,RD,,FALSE,,10/17/2018 16:30,FALSE,FALSE,"(0, 0)"
18-90492,,KELLEY,CT,7501,,SOMERVELL,ST,,FALSE,,10/8/2018 11:30,FALSE,TRUE,"(32.77181, -97.19138)"
18-93119,,HULEN,ST,4500,W,VICKERY,BLVD,,TRUE,,10/17/2018 17:10,FALSE,FALSE,"(32.68932, -97.39364)"
18-93293,,CAMPUS,DR,2300,,JOE B RUSHING,RD,,TRUE,,10/18/2018 11:04,FALSE,FALSE,"(32.67022, -97.29397)"
18-91118,E,LANCASTER,AVE,3200,,DOTTIE LYNN,PKWY,,TRUE,,10/10/2018 15:40,FALSE,FALSE,"(32.73082, -97.18181)"
18-91080,,NORTH,FWY,2400,,NORTHEAST LOOP 820,FWY,,TRUE,,10/10/2018 14:00,FALSE,FALSE,"(32.84911, -97.3126)"
18-90932,,BRYANT IRVIN,RD,5900,,SOUTHWEST,LOOP,,TRUE,,10/9/2018 23:07,FALSE,TRUE,"(32.68164, -97.41416)"
18-93034,,BRENTWOOD STAIR,RD,1400,,WEILER,BLVD,MAIN ROAD,FALSE,MAIN ROAD,10/17/2018 12:50,FALSE,FALSE,"(32.76003, -97.23745)"
18-91225,,GARDEN ACRES,DR,10801,,SOUTH FWY SR NB,,,FALSE,,10/10/2018 22:04,FALSE,FALSE,"(32.59923, -97.31717)"
18-92633,,WEST FREEWAY,,2000,S,CHERRY,LN,PAVED ROADWAY,FALSE,PAVED ROADWAY,10/16/2018 6:34,FALSE,TRUE,"(0, 0)"
18-91380,S,LOOP 820,,9300,,WESTPOINT,,,FALSE,,10/11/2018 14:22,FALSE,TRUE,"(0, 0)"
18-91350,,OLD DECATUR,RD,5700,,BLUE RIBBON,RD,,FALSE,,10/11/2018 11:30,FALSE,TRUE,"(32.84148, -97.3821)"
18-90660,,RENAISSANCE SQ,,3300,,MIGHTY MITE,DR,,TRUE,,10/9/2018 7:10,FALSE,FALSE,"(0, 0)"
180093201,,RENDON CROWLEY IH 35W NB,RAMP,100,E,RENDON CROWLEY,RD,,FALSE,,10/17/2018 22:50,FALSE,TRUE,"(0, 0)"
18-93354,E,LOOP 820 SOUTH FWY SB,FWY,5300,,SUN VALLEY,DR,,FALSE,,10/18/2018 15:16,FALSE,FALSE,"(32.67915, -97.24122)"
18-91407,,SOUTH FWY,,580,E,FELIX,,,FALSE,,10/11/2018 15:34,FALSE,TRUE,"(32.67307, -97.32058)"
18-93253,N,HWY 183,HWY,4800,,AMON CARTER,BLVD,,FALSE,,10/18/2018 8:12,FALSE,FALSE,"(0, 0)"
18-93159,,EAST LOOP 820,,2500,,EAST LOOP 820 SR SB,,STATE LOOP,FALSE,ON RAMP,10/17/2018 19:34,FALSE,FALSE,"(32.74413, -97.22403)"
18-92858,,FOREST HILL,DR,3300,,BONAVENTURE,BLVD,,FALSE,,10/16/2018 18:30,FALSE,FALSE,"(32.64141, -97.26994)"
18-92272,,MC CART,AVE,3400,,SOUTHPARK,LN,,FALSE,,10/14/2018 19:50,FALSE,FALSE,"(32.64317, -97.36964)"
18-91451,,TIMBERLAND,BLVD,11600,N,RIVERSIDE,DR,,TRUE,,10/11/2018 18:30,FALSE,FALSE,"(32.94271, -97.30298)"
18-87045,,CROWLEY,RD,2200,N,CROWLEY CLEBURNE,RD,,TRUE,,10/11/2018 10:40,FALSE,FALSE,"(32.60739, -97.35147)"
18-91148,,EASTCHASE,PKWY,8400,,BELLCHAISE,DR,,TRUE,,10/10/2018 17:24,FALSE,FALSE,"(32.75521, -97.16937)"
18-91415,,IH 20 EB EAST LOOP 820 SOUTH NB,HWY,5300,,MANSFIELD,HWY,,FALSE,,10/11/2018 16:00,FALSE,FALSE,"(0, 0)"
18-93559,W,IH 30,FWY,2600,N,ALTA MERE,DR,,FALSE,,10/19/2018 9:11,FALSE,FALSE,"(0, 0)"
18-93544,,BRYANT IRVIN,RD,5800,,OVERTON RIDGE,BLVD,,FALSE,,10/19/2018 7:24,FALSE,FALSE,"(32.67364, -97.4186)"
18-93551,,BRYANT IRVIN,RD,6400,,MIRA VISTA,BLVD,,TRUE,,10/19/2018 8:01,FALSE,FALSE,"(32.65454, -97.42974)"
180091123,NW,22ND,ST,2200,,CHESTNUT,AVE,,TRUE,,10/10/2018 16:13,FALSE,FALSE,"(32.78452, -97.36319)"
18-92970,E,ROSEDALE,ST,1200,,TIERNEY,RD,,TRUE,,10/17/2018 9:15,FALSE,FALSE,"(32.73119, -97.24654)"
18-93573,,WEST,FWY,3600,,LINKCREST,DR,,FALSE,,10/19/2018 10:10,FALSE,FALSE,"(32.72107, -97.53684)"
18-93545,,CAMP BOWIE,,3350,,FRANCIS,DR,,TRUE,,10/19/2018 8:05,FALSE,FALSE,"(0, 0)"
18-93592,,WEST,FWY,2700,,MONTGOMERY,ST,,FALSE,,10/19/2018 11:24,FALSE,FALSE,"(32.73313, -97.36411)"
18-92933,,HERITAGE TRACE,PKWY,9600,,HILLWOOD,PKWY,,TRUE,,10/17/2018 7:00,FALSE,FALSE,"(32.91399, -97.30889)"
180089985,,HEMPHILL,ST,600,W,SEMINARY,DR,,TRUE,,10/6/2018 20:40,FALSE,FALSE,"(32.68446, -97.33176)"
18-90138,E,BERRY,ST,3100,,EVANS,AVE,,FALSE,,10/7/2018 12:30,FALSE,TRUE,"(32.70591, -97.3336)"
18-89294,,JACKSBORO,HWY,4600,,ACORN,CT,,FALSE,,10/4/2018 15:00,FALSE,FALSE,"(32.83923, -97.49254)"
18-90993,N,RIVERSIDE,DR,3300,,YUCCA,AVE,,FALSE,,10/10/2018 9:00,FALSE,FALSE,"(32.73099, -97.30315)"
180090827,N,UNIVERSITY,DR,3100,,WHITE SETTLEMENT,RD,,FALSE,,10/9/2018 16:20,FALSE,FALSE,"(32.76017, -97.36114)"
18-90738,W,BELKNAP,ST,100,N,CHERRY,ST,,TRUE,,10/9/2018 12:25,FALSE,FALSE,"(32.75996, -97.32844)"
18-89664,,ROARING SPRINGS,RD,5800,,CARB,DR,,TRUE,,10/5/2018 18:45,FALSE,FALSE,"(32.75357, -97.41546)"
18-91587,S,,FWY,700,E,ROSEDALE,ST,,FALSE,,10/12/2018 8:37,FALSE,FALSE,"(32.73263, -97.32037)"
180091465,E,LANCASTER,AVE,300,S,OAKLAND,BLVD,,FALSE,,10/11/2018 19:56,FALSE,FALSE,"(32.74097, -97.26267)"
18-91445,,MEADOWBROOK,BLVD,1600,,HANDLEY,DR,,FALSE,,10/11/2018 18:00,FALSE,FALSE,"(0, 0)"
18-91472,E,RENDON CROWLEY,RD,12400,,SOUTH FWY SR NB,,,TRUE,,10/11/2018 19:58,FALSE,TRUE,"(32.57853, -97.31254)"
180091683,NW,LOOP 820,,4600,,MARINE CREEK,PKWY,,FALSE,,10/12/2018 13:51,FALSE,FALSE,"(0, 0)"
18-91485,S,HULEN,ST,6200,,OAKMONT,BLVD,,FALSE,,10/11/2018 21:26,FALSE,FALSE,"(32.66219, -97.40226)"
180091457,NW,LOOP 820,FWY,4700,,MARINE CREEK,PKWY,,FALSE,,10/11/2018 16:50,FALSE,TRUE,"(32.82346, -97.39232)"
18-091582,W,VICKERY,BLVD,3000,,MONTGOMERY,ST,,FALSE,,10/12/2018 9:17,FALSE,FALSE,"(32.73003, -97.37005)"
18-93363,E,IH 20 EB,,2100,,IH 20 EB WICHITA,RAMP,,FALSE,,10/18/2018 15:52,FALSE,FALSE,"(32.76152, -97.31614)"
180092274,E,BERRY,ST,0,,SOUTH,FWY,,TRUE,,10/14/2018 20:21,FALSE,FALSE,"(32.70585, -97.33099)"
18-93381,,MARTIN,ST,4700,,FOARD,ST,,TRUE,,10/18/2018 16:15,FALSE,FALSE,"(32.69228, -97.2796)"
180092265,E,SEMINARY,DR,0,,CAMPUS,DR,,FALSE,,10/14/2018 18:55,FALSE,FALSE,"(32.68457, -97.35127)"
18-93589,,CHRISTOPHER,DR,2000,,EVERMAN,PKWY,,TRUE,,10/19/2018 10:55,FALSE,FALSE,"(32.62294, -97.29523)"
18-93609,,SYCAMORE SCHOOL,RD,7900,,CROWLEY,RD,,FALSE,,10/19/2018 12:14,FALSE,TRUE,"(32.63482, -97.35115)"
18-93541,,WESTCREEK,DR,3000,,DURINGER,RD,WET,TRUE,,10/19/2018 7:26,FALSE,FALSE,"(32.66067, -97.36191)"
18-92387,,CROWLEY,RD,2000,,SKY RANCH,RD,,TRUE,,10/15/2018 11:03,FALSE,FALSE,"(32.62706, -97.34855)"
18-93529,W,RENDON CROWLEY,RD,12400,,SOUTH FREEWAY,,,TRUE,,10/19/2018 6:35,FALSE,FALSE,"(32.57853, -97.31254)"
18-91402,,WILBARGER,ST,4800,,FRESHFIELD,RD,,TRUE,,10/11/2018 15:13,FALSE,FALSE,"(32.69892, -97.24964)"
18-92133,,SOUTHWEST BLVD SR WB,,0,,RIVER PARK,DR,,FALSE,,10/14/2018 4:18,FALSE,TRUE,"(32.701, -97.485)"
18-93196,,EAST,FWY,1900,,BEACH,ST,,FALSE,BEACH ST,10/17/2018 23:09,FALSE,FALSE,"(32.75219, -97.27522)"
180092585,,UNIVERSITY,DR,0,,,,,FALSE,,10/15/2018 22:04,FALSE,FALSE,"(32.73461, -97.3614)"
18-94021,W,BERRY,ST,3100,S,UNIVERSITY,DR,,FALSE,,10/20/2018 19:49,FALSE,FALSE,"(32.71327, -97.28094)"
18-89777,,MORTON,ST,1000,,NORWOOD,ST,,FALSE,,10/6/2018 2:02,FALSE,FALSE,"(32.74927, -97.36107)"
18-92306,W,BELKNAP,ST,400,N,TAYLOR,ST,,FALSE,,10/14/2018 22:00,FALSE,FALSE,"(32.75873, -97.33147)"
18-90612,,AVRIL CT N,,8800,S,NORMANDALE,ST,,FALSE,,10/8/2018 20:30,FALSE,FALSE,"(32.72699, -97.47038)"
18-89781,,FOCH,ST,2800,,BLEDSOE,ST,,FALSE,,10/6/2018 1:43,FALSE,TRUE,"(32.74875, -97.35659)"
18-93862,,NORWOOD,ST,3000,W,7TH,ST,,TRUE,,10/20/2018 2:20,FALSE,TRUE,"(32.75067, -97.3602)"
18-93895,,CAMELOT,RD,1400,,WHITTENBURG,DR,,TRUE,,10/20/2018 7:58,FALSE,FALSE,"(32.64661, -97.34037)"
18-94030,,OAK GROVE,RD,1450,,ROMA,LN,,TRUE,,10/20/2018 20:31,FALSE,FALSE,"(32.66451, -97.3049)"
18-93724,S,US HWY 287,,4641,,VILLAGE CREEK,RD,,FALSE,,10/19/2018 17:33,FALSE,TRUE,"(0, 0)"
18-93936,,W RENDON CROWLEY,RD,12400,S,FREEWAY SB,,,TRUE,,10/20/2018 12:45,FALSE,FALSE,"(32.57853, -97.31254)"
180094008,W,RENDON CROWLEY,RD,0,E,MAIN,ST,,FALSE,,10/20/2018 18:34,FALSE,FALSE,"(32.57994, -97.30668)"
18-93915,,SYCAMORE SCHOOL,RD,7800,,HEMPHILL,ST,,TRUE,,10/20/2018 10:42,FALSE,FALSE,"(32.63521, -97.33606)"
18-90435,,GREENBELT,RD,0,W,GREEN OAKS,BLVD,1500 GREENBELT RD,FALSE,,10/8/2018 13:51,FALSE,FALSE,"(32.78592, -97.14004)"
18-93731,E,LANCASTER,AVE,2693,,OAKLAND,BLVD,,FALSE,,10/19/2018 19:01,FALSE,FALSE,"(32.74079, -97.25978)"
180093938,N,NORTH,FWY,3000,N,TARRANT,PKWY,,FALSE,,10/20/2018 13:17,FALSE,FALSE,"(32.89595, -97.31733)"
180093225,,WORLD WIDE,DR,2400,,TEXAS LONGHORN,WAY,,FALSE,,10/18/2018 3:42,FALSE,FALSE,"(32.99186, -97.3086)"
18-93245,,NORTH SOUTH,FWY,1000,,LUELLE,ST,IH35 SB,FALSE,LOCAL ROAD,10/18/2018 8:01,FALSE,FALSE,"(32.75345, -97.31981)"
18-89472,,MACON,ST,800,,TEXAS,ST,,FALSE,,10/5/2018 6:00,FALSE,FALSE,"(32.74862, -97.33579)"
18-88984,W,BELKNAP,ST,100,N,LAMAR,ST,,FALSE,,10/3/2018 15:20,FALSE,TRUE,"(0, 0)"
18-89709,NW,24TH,ST,2100,,EPHRIHAM,AVE,PARKING LOT OF LISA'S CHICKEN,FALSE,,10/5/2018 21:32,FALSE,TRUE,"(32.79091, -97.37477)"
18-93167,W,BELKNAP,ST,100,N,HENDERSON,ST,,FALSE,,10/17/2018 20:29,FALSE,FALSE,"(32.75505, -97.33904)"
18-89573,S,HENDERSON,ST,1200,W,DAGGETT,AVE,,TRUE,,10/5/2018 13:55,FALSE,FALSE,"(32.74231, -97.33762)"
18-88845,,SCOTS BRIAR,LN,7000,,INDIANA,AVE,,FALSE,,10/3/2018 8:07,FALSE,FALSE,"(32.86733, -97.28124)"
180093814,N,MAIN,ST,100,E,EXCHANGE,AVE,PAVED ROAD,TRUE,PAVED ROAD,10/19/2018 22:21,FALSE,FALSE,"(32.78939, -97.34915)"
180093531,N,CROWLEY CLEBURNE,RD,9200,,MERTON,DR,,TRUE,,10/19/2018 6:27,FALSE,FALSE,"(32.60744, -97.38053)"
18-94229,E,BERRY,ST,3000,S,RIVERSIDE,DR,,TRUE,,10/21/2018 15:20,FALSE,FALSE,"(32.70602, -97.34231)"
18-93464,,EAST LOOP 820 NORTH,,6700,,BRIDGE,ST,,TRUE,,10/18/2018 21:20,FALSE,FALSE,"(32.76626, -97.21223)"
18-93462,,MC CART,AVE,2400,W,CANTEY,ST,"ONE WAY STREET,  2 LANES",TRUE,,10/18/2018 21:23,FALSE,FALSE,"(32.71122, -97.35315)"
18-94186,,NORTH SOUTH,FWY,990,,EAST,FWY,,FALSE,,10/21/2018 12:03,FALSE,FALSE,"(32.7641, -97.31753)"
18-93991,E,ROSEDALE,ST,1400,S,BEACH,ST,,TRUE,,10/20/2018 17:15,FALSE,FALSE,"(32.73312, -97.35751)"
18-93945,S,FREEWAY,,600,E,BERRY,ST,,TRUE,,10/20/2018 14:01,FALSE,FALSE,"(32.70591, -97.32096)"
180093690,E,820 N FWY,FWY,6300,,MEADOWBROOK,DR,,FALSE,,10/19/2018 16:26,FALSE,FALSE,"(32.746, -97.221)"
18-93711,,BASSWOOD,BLVD,7800,,OLD SANTA FE,TRL,2800 BASSWOOD BLVD,FALSE,7800 OLD SANTA FE TRL,10/19/2018 17:45,FALSE,FALSE,"(32.87277, -97.31941)"
18-93477,,WESTPORT,PKWY,13400,,OLD DENTON,RD,LOCAL ROAD,FALSE,LOCAL STREET,10/18/2018 22:25,FALSE,FALSE,"(0, 0)"
180093411,,MEADOWBROOK,DR,2300,,HANDLEY,DR,,FALSE,,10/18/2018 17:46,FALSE,FALSE,"(32.74607, -97.21761)"
18-92404,W,SEMINARY,DR,4300,,JAMES,AVE,FOUR LANE DIVIDED DRIVE,TRUE,,10/15/2018 12:02,FALSE,TRUE,"(32.68468, -97.34553)"
18-93719,,ALTA MERE,DR,7300,,RUBY,PL,LOCAL ROAD,FALSE,LOCAL ROAD,10/19/2018 18:13,FALSE,FALSE,"(32.72037, -97.44166)"
18-94072,,SOUTH,FWY,0,,EAST,FWY,FREEWAY,FALSE,,10/21/2018 23:22,FALSE,FALSE,"(32.73942, -97.32032)"
18-93451,,UNIVERSITY PARK,DR,1600,S,UNIVERSITY,DR,,FALSE,,10/18/2018 21:12,FALSE,FALSE,"(32.70514, -97.36043)"
18-89944,N,SOUTH FWY,,0,,WILBARGER,ST,,FALSE,,10/6/2018 18:08,FALSE,FALSE,"(32.68687, -97.3205)"
18-90248,E,FELIX,ST,4800,S,FREEWAY SR NB,,,TRUE,,10/7/2018 19:35,FALSE,TRUE,"(32.67647, -97.31961)"
18-94005,S,US HWY 287,HWY,0,,US 287 SB VAUGHN,RAMP,,FALSE,,10/20/2018 18:20,FALSE,FALSE,"(32.71668, -97.2846)"
180093994,N,HENDERSON,ST,900,W,PEACH,ST,,TRUE,,10/20/2018 17:59,FALSE,FALSE,"(32.75583, -97.34004)"
18-93444,,MAYFAIR,ST,4800,,LYNDON,DR,,FALSE,,10/18/2018 20:30,FALSE,TRUE,"(32.70433, -97.44881)"
18-92684,E,LANCASTER,AVE,2150,E,820,LOOP,PUBLIC STREET,TRUE,STATE HIGHWAY ENTRANCE/EXIT,10/16/2018 10:00,FALSE,FALSE,"(32.73469, -97.22512)"
180093966,,CLAIREMONT,AVE,3950,,PANOLA,AVE,,TRUE,,10/20/2018 16:17,FALSE,FALSE,"(32.73765, -97.26669)"
18-93157,,ALLIANCE GATEWAY,FWY,13350,,ALTA VISTA,RD,,TRUE,,10/17/2018 19:20,FALSE,TRUE,"(32.97259, -97.27602)"
18-93644,,WESTPORT,PKWY,13500,,HERITAGE,PKWY,,TRUE,,10/19/2018 13:38,FALSE,FALSE,"(32.97228, -97.31482)"
18-93388,E,LANCASTER,AVE,3200,,COOKS,LN,,TRUE,,10/18/2018 16:50,FALSE,FALSE,"(32.73082, -97.18181)"
18-93009,,NORTH,FWY,2900,,BASSWOOD,BLVD,,FALSE,,10/17/2018 11:20,FALSE,FALSE,"(32.88558, -97.31736)"
